Latitude,Species,Habitat,Depth,TL(cm),d13C,C.N,Lipid.Extraction,ProvCode,ProvDescr,meanLH,sdLH,rangeLH
58.394,Centroscyllium fabricii,Slope,1500,90,-17.89516674,3.258020754,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Centroscyllium fabricii,Slope,1500,34.5,-18.67826564,3.185655278,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.394,Centroscyllium fabricii,Slope,1500,37,-18.32747275,3.116389242,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.23333,Somniosus pacificus,Shelf,60,167,-23.274,6.631906771,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.21667,Somniosus pacificus,Shelf,69,95,-22.895,7.060451884,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.21667,Somniosus pacificus,Shelf,60,54,-20.861,3.93314358,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.2,Somniosus pacificus,Shelf,59,210,-22.415,6.54850888,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.1,Somniosus pacificus,Shelf,60,166,-22.843,7.360732363,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.05,Somniosus pacificus,Shelf,65,126,-23.696,9.269562903,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.03333,Somniosus pacificus,Shelf,59,161,-23.371,6.232347051,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58,Somniosus pacificus,Shelf,67,182,-23.198,5.739352636,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
57.96667,Somniosus pacificus,Shelf,59,183,-23.227,7.462737342,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
57.85,Somniosus pacificus,Shelf,64,164,-23.269,7.049990214,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
57.841,Centrophorus squamosus,Slope,750,89,-15.49824452,3.472343034,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
57.83333,Somniosus pacificus,Shelf,67,179,-22.758,7.601831819,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
57.78333,Somniosus pacificus,Shelf,49,150,-23.457,6.51118083,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
57.76667,Somniosus pacificus,Shelf,48,180,-23.174,8.391153999,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
57.76667,Somniosus pacificus,Shelf,65,246,-23.786,8.244741887,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
